姓名    数学	语文	英语	化学	体育	生物	参加考试数	及格数
李明	39.0 	55.0 	90.0 	39.0 	56.0 	60.0 
王小二	60.0 	64.0 	77.0 	55.0 	71.0 	64.0 
郑准	86.0 	79.0 	98.0 	90.0 	99.0 	91.0 
张大民	77.0 	85.0 	83.0 	77.0 	83.0 	55.0 
李节	43.0 	47.0 	54.0 	85.0 	47.0 	71.0 
阮大	56.0 	71.0 		83.0 	84.0 	77.0 
孔庙	90.0 	89.0 	98.0 	88.0 	85.0 	91.0 
张三	45.0 	67.0 	88.0 	97.0 	46.8 	55.8 
吴柳	77.0 	88.0 	67.0 	56.0 	76.5 	48.9 
田七	65.0 	55.0 	44.0 		65.0 	88.0 
刘戡	95.0 	96.0 	94.0 	89.0 	98.0 	99.0 
蔡延	78.0 		82.0 	83.0 	79.0 	90.0 
周阚	44.0 	32.0 	45.0 	67.0 	60.0 	61.0 
王启	77.0 	98.0 	28.0 	45.0 	70.0 	85.0 
